states,states_abb,states_pop
California,CA,37254523
Texas,TX,25145561
Florida,FL,18801310
New York,NY,19378102
Pennsylvania,PA,12702379
Illinois,IL,12830632
Ohio,OH,11536504
Georgia,GA,9687653
North Carolina,NC,9535483
Michigan,MI,9883640
New Jersey,NJ,8791894
Virginia,VA,8001024
Washington,WA,6724540
Arizona,AZ,6392017
Massachusetts,MA,6547629
Tennessee,TN,6346105
Indiana,IN,6483802
Missouri,MO,5988927
Maryland,MD,5773552
Wisconsin,WI,5686986
Colorado,CO,5029196
Minnesota,MN,5303925
South Carolina,SC,4625364
Alabama,AL,4779736
Louisiana,LA,4533372
Kentucky,KY,4339367
Oregon,OR,3831074
Oklahoma,OK,3751351
Connecticut,CT,3574097
Utah,UT,2763885
Puerto Rico,PR,3725789
Iowa,IA,3046355
Nevada,NV,2700551
Arkansas,AR,2915918
Mississippi,MS,2967297
Kansas,KS,2853118
New Mexico,NM,2059179
Nebraska,NE,1826341
West Virginia,WV,1852994
Idaho,ID,1567582
Hawaii,HI,1360301
New Hampshire,NH,1316470
Maine,ME,1328361
Montana,MT,989415
Rhode Island,RI,1052567
Delaware,DE,897934
South Dakota,SD,814180
North Dakota,ND,672591
Alaska,AK,710231
District of Columbia,DC,601723
Vermont,VT,625741
Wyoming,WY,563626
Guam,NA,159358
U.S. Virgin Islands,NA,106405
American Samoa,NA,55519
Northern Mariana Islands,NA,53883
